307	0	1	0	0	0	0	0	0	0	1	0	0	8	0	0	1	7	4	1	0	0	0	3	0	0	1	0	1	0	0	1	0	0	1	0	7	1	2	2	0	0	2	0	0	11	5	3	2	2	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	1	1	2	0	1	1	0	0	0	1	0	0	2	2	0	2	9	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	4	0	1	1	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	1	2	2	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	2	0	2	7	1	1	0	3	2	6	14	5	3	0	1	3	2	0	0	2	1	0	1	
0	384	3	0	2	4	0	4	1	1	2	0	0	0	1	0	1	5	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	4	7	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	2	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	2	
1	8	235	24	14	8	1	2	0	3	2	7	1	1	0	2	1	4	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	3	2	4	0	7	2	2	1	2	0	3	3	2	2	1	0	1	4	0	3	3	2	0	9	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	3	2	0	1	0	2	1	1	1	2	0	0	0	1	3	0	9	0	6	1	0	0	0	1	0	0	1	2	1	1	0	0	5	3	0	0	1	0	0	5	2	0	2	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	4	0	1	4	1	0	0	2	0	0	0	1	0	1	0	0	0	6	0	0	1	3	1	1	0	0	2	1	4	0	0	0	0	4	0	0	0	0	2	3	0	0	3	
1	18	38	187	5	25	3	7	1	5	3	4	1	2	1	5	0	2	0	8	2	0	0	0	0	1	2	3	1	0	1	1	0	2	6	0	2	7	4	9	2	1	1	2	1	4	4	2	0	2	1	3	2	3	1	0	5	1	6	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	2	1	0	2	0	0	0	1	1	10	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	4	0	3	0	0	1	0	0	0	2	0	0	0	0	4	1	1	0	3	1	0	1	0	2	1	9	0	1	0	0	5	1	4	0	1	0	1	0	0	2	
0	14	14	4	186	11	4	3	0	3	7	10	3	0	1	1	4	3	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	3	2	3	0	0	0	0	15	0	1	3	0	2	2	0	2	1	3	0	2	0	0	0	1	0	0	1	4	1	0	0	2	0	0	0	1	0	1	2	10	0	0	0	0	0	4	3	0	0	0	0	0	16	0	4	2	1	2	0	0	0	0	1	3	2	0	1	0	1	2	0	0	1	0	1	8	1	0	2	5	0	0	0	2	1	0	2	0	0	0	5	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	3	0	12	1	2	0	0	1	0	0	2	0	7	0	5	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	9	5	6	3	4	1	
0	3	1	9	2	194	1	6	0	0	9	2	1	2	2	1	0	2	1	6	1	0	3	0	1	0	2	1	0	1	0	0	1	4	2	1	0	0	0	8	1	2	2	0	0	1	2	2	1	3	0	2	2	7	0	1	1	2	5	0	0	4	2	0	0	3	0	0	0	1	3	0	0	1	0	0	1	1	1	1	0	0	2	2	2	1	0	0	4	2	3	17	0	3	1	1	2	0	5	1	0	0	0	0	2	1	0	1	10	0	0	1	2	1	6	1	1	1	5	1	2	0	1	2	1	4	1	1	1	2	0	5	0	0	1	1	8	2	0	0	0	0	1	0	13	0	0	0	0	2	1	0	1	1	0	1	2	1	0	1	1	0	4	0	3	2	0	0	0	4	1	0	0	0	1	0	3	0	1	2	2	2	2	1	0	4	1	1	0	0	2	0	1	0	5	1	0	0	1	1	
0	0	3	3	2	3	323	3	0	2	9	2	1	0	6	4	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	4	3	0	0	2	1	0	1	0	0	0	1	0	0	0	2	0	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0	14	1	1	0	1	1	0	7	0	0	0	2	1	11	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	4	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	2	0	4	3	0	1	2	0	0	0	0	0	0	2	0	0	0	0	2	2	0	2	1	1	1	2	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	7	0	4	1	0	1	0	0	1	1	
2	12	6	5	2	18	0	162	12	4	15	8	1	8	1	3	4	10	0	5	0	0	1	0	2	4	2	0	1	0	1	3	0	2	3	0	0	5	7	1	4	11	1	0	0	0	6	0	2	0	1	6	3	3	2	1	5	1	2	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	2	2	1	1	0	1	1	2	2	0	1	0	0	1	8	0	3	0	0	0	1	8	0	2	0	0	1	0	0	0	2	0	1	0	3	0	3	1	0	0	2	3	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	7	0	1	0	1	1	1	1	2	0	1	0	0	1	0	3	5	1	1	1	2	0	0	0	1	2	2	1	1	0	2	4	1	2	1	1	0	0	3	1	1	5	0	0	1	3	3	0	2	0	0	0	4	0	0	1	
0	6	2	2	3	0	0	5	291	5	4	2	1	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	2	0	1	3	3	5	6	10	3	6	0	0	5	0	0	1	0	3	9	1	2	1	2	1	3	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	2	1	1	0	0	4	0	0	0	0	0	1	7	1	0	0	4	0	0	1	0	0	0	1	1	1	1	0	3	2	2	0	3	0	1	0	0	0	1	1	0	0	0	3	0	0	3	0	0	0	0	0	1	5	0	0	0	1	0	0	6	0	0	1	0	2	0	0	0	1	0	1	0	9	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	5	1	0	0	1	1	0	0	0	1	0	0	0	1	3	0	1	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	
0	7	0	4	1	12	1	20	5	193	14	0	2	1	1	0	3	10	1	13	3	1	0	0	2	5	1	3	5	0	1	2	0	2	4	2	2	0	4	3	1	0	2	0	0	1	1	0	2	5	0	4	6	10	0	4	8	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	2	0	0	4	0	0	3	0	0	1	0	3	15	0	3	1	0	3	1	2	0	0	0	1	0	0	0	2	1	1	1	1	0	1	1	2	0	0	0	3	2	0	1	4	1	0	1	1	1	0	1	0	2	3	0	0	0	3	0	0	4	0	1	0	0	4	0	0	1	0	1	0	0	6	0	0	0	1	3	0	0	0	0	1	1	2	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	1	1	0	0	0	1	0	4	0	1	0	
