4.0751	0.1551	0.3480	3.7225	0.2038	0.4370
3.2955	0.2702	0.5215	3.4480	0.2455	0.4905
3.0415	0.3138	0.5746	3.2879	0.2737	0.5220
2.8888	0.3413	0.6035	3.2031	0.2939	0.5374
2.7834	0.3600	0.6247	3.1222	0.2985	0.5587
2.7006	0.3750	0.6392	3.1047	0.3039	0.5625
2.6372	0.3883	0.6509	3.0476	0.3130	0.5716
2.5755	0.3993	0.6635	3.0158	0.3247	0.5771
2.5260	0.4094	0.6727	3.0021	0.3242	0.5806
2.4827	0.4173	0.6805	2.9908	0.3192	0.5869
2.4455	0.4249	0.6883	2.9665	0.3301	0.5908
2.4076	0.4319	0.6941	2.9329	0.3338	0.5962
2.3743	0.4401	0.6987	2.9827	0.3268	0.5866
2.3496	0.4434	0.7021	2.9170	0.3375	0.5956
2.3151	0.4505	0.7099	2.9084	0.3366	0.6001
2.2908	0.4542	0.7144	2.9046	0.3406	0.6001
2.2658	0.4591	0.7181	2.9064	0.3409	0.6054
2.2457	0.4619	0.7213	2.9138	0.3435	0.5969
2.2195	0.4699	0.7277	2.8896	0.3450	0.6022
2.2020	0.4708	0.7298	2.9040	0.3410	0.6014
2.1818	0.4746	0.7347	2.8823	0.3461	0.6038
2.1604	0.4789	0.7381	2.8846	0.3470	0.6061
2.1337	0.4848	0.7420	2.8940	0.3502	0.6001
2.1237	0.4874	0.7430	2.9158	0.3423	0.5948
2.0124	0.5109	0.7609	2.7899	0.3690	0.6250
1.9527	0.5237	0.7714	2.7441	0.3803	0.6358
1.9224	0.5314	0.7758	2.7149	0.3871	0.6420
1.9022	0.5349	0.7802	2.6999	0.3905	0.6469
1.8813	0.5396	0.7840	2.6814	0.3925	0.6528
1.8757	0.5412	0.7850	2.6670	0.3971	0.6552
1.8626	0.5425	0.7870	2.6586	0.3985	0.6572
1.8491	0.5470	0.7878	2.6465	0.4012	0.6605
1.8457	0.5465	0.7898	2.6371	0.4034	0.6627
1.8427	0.5487	0.7896	2.6337	0.4034	0.6631
1.8343	0.5477	0.7923	2.6188	0.4067	0.6677
1.8309	0.5488	0.7909	2.6165	0.4070	0.6693
1.8172	0.5528	0.7943	2.6078	0.4088	0.6705
1.8153	0.5527	0.7940	2.6011	0.4106	0.6725
1.8155	0.5518	0.7927	2.5975	0.4108	0.6730
1.8092	0.5534	0.7946	2.5954	0.4129	0.6744
1.8024	0.5571	0.7965	2.5859	0.4147	0.6758
1.7989	0.5568	0.7963	2.5847	0.4142	0.6764
1.7950	0.5569	0.7965	2.5769	0.4163	0.6774
1.7915	0.5575	0.7974	2.5705	0.4177	0.6784
1.7848	0.5602	0.8000	2.5725	0.4181	0.6774
1.7872	0.5585	0.7992	2.5665	0.4194	0.6776
1.7814	0.5607	0.7987	2.5622	0.4188	0.6783
1.7790	0.5609	0.7999	2.5553	0.4225	0.6797
1.7677	0.5626	0.8021	2.5399	0.4275	0.6834
1.7598	0.5648	0.8039	2.5396	0.4266	0.6828
1.7588	0.5641	0.8017	2.5365	0.4275	0.6831
1.7585	0.5645	0.8047	2.5346	0.4281	0.6837
1.7570	0.5663	0.8034	2.5306	0.4291	0.6844
1.7518	0.5654	0.8050	2.5272	0.4297	0.6856
1.7496	0.5671	0.8050	2.5226	0.4311	0.6858
1.7437	0.5680	0.8051	2.5216	0.4309	0.6857
1.7341	0.5700	0.8068	2.5172	0.4318	0.6864
1.7423	0.5681	0.8061	2.5063	0.4331	0.6893
1.7343	0.5696	0.8066	2.5061	0.4327	0.6888
1.7319	0.5702	0.8076	2.5069	0.4326	0.6875
1.7292	0.5724	0.8082	2.5026	0.4355	0.6893
1.7230	0.5732	0.8098	2.4944	0.4365	0.6905
1.7250	0.5726	0.8095	2.4940	0.4358	0.6912
1.7157	0.5752	0.8096	2.4924	0.4361	0.6905
1.7175	0.5741	0.8091	2.4805	0.4370	0.6938
1.7144	0.5745	0.8109	2.4860	0.4363	0.6923
1.7134	0.5754	0.8109	2.4814	0.4383	0.6938
1.7028	0.5768	0.8119	2.4776	0.4396	0.6945
1.7049	0.5770	0.8125	2.4745	0.4401	0.6960
1.7055	0.5769	0.8123	2.4693	0.4402	0.6962
1.7056	0.5754	0.8115	2.4732	0.4395	0.6951
1.6987	0.5781	0.8128	2.4672	0.4399	0.6970
